Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2
mop.r.0,R1,x,x,x,x,,x,x,, ,x,,
mop.r.1,R1,x,x,x,x,,x,x,, ,x,,
mop.r.2,R1,x,x,x,x,,x,x,, ,x,,
mop.r.3,R1,x,x,x,x,,x,x,, ,x,,
mop.r.4,R1,x,x,x,x,,x,x,, ,x,,
mop.r.5,R1,x,x,x,x,,x,x,, ,x,,
mop.r.6,R1,x,x,x,x,,x,x,, ,x,,
mop.r.7,R1,x,x,x,x,,x,x,, ,x,,
mop.r.8,R1,x,x,x,x,,x,x,, ,x,,
mop.r.9,R1,x,x,x,x,,x,x,, ,x,,
mop.r.10,R1,x,x,x,x,,x,x,, ,x,,
mop.r.11,R1,x,x,x,x,,x,x,, ,x,,
mop.r.12,R1,x,x,x,x,,x,x,, ,x,,
mop.r.13,R1,x,x,x,x,,x,x,, ,x,,
mop.r.14,R1,x,x,x,x,,x,x,, ,x,,
mop.r.15,R1,x,x,x,x,,x,x,, ,x,,
mop.r.16,R1,x,x,x,x,,x,x,, ,x,,
mop.r.17,R1,x,x,x,x,,x,x,, ,x,,
mop.r.18,R1,x,x,x,x,,x,x,, ,x,,
mop.r.19,R1,x,x,x,x,,x,x,, ,x,,
mop.r.20,R1,x,x,x,x,,x,x,, ,x,,
mop.r.21,R1,x,x,x,x,,x,x,, ,x,,
mop.r.22,R1,x,x,x,x,,x,x,, ,x,,
mop.r.23,R1,x,x,x,x,,x,x,, ,x,,
mop.r.24,R1,x,x,x,x,,x,x,, ,x,,
mop.r.25,R1,x,x,x,x,,x,x,, ,x,,
mop.r.26,R1,x,x,x,x,,x,x,, ,x,,
mop.r.27,R1,x,x,x,x,,x,x,, ,x,,
mop.r.28,R1,x,x,x,x,,x,x,, ,x,,
mop.r.29,R1,x,x,x,x,,x,x,, ,x,,
mop.r.30,R1,x,x,x,x,,x,x,, ,x,,
mop.r.31,R1,x,x,x,x,,x,x,, ,x,,
mop.rr.0,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.1,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.2,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.3,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.4,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.5,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.6,R,x,x,x,x,x,x,x,x,x,x,x,x
mop.rr.7,R,x,x,x,x,x,x,x,x,x,x,x,x
